,Player,Earnings in thousand U.S. dollars
0,Xyp9x (Andreas Højsleth),1744.92
1,dupreeh (Peter Rasmussen),1741.72
2,dev1ce (Nicolai Reedtz),1706.22
3,gla1ve (Lukas Rossander),1575.88
4,Magisk (Emil Reif),1335.18
5,Stewie2k (Jakey Yip),1029.14
6,TACO (Epitacio de Melo),985.24
7,FalleN (Gabriel Toledo),981.32
8,fer (Fernando Alvarenga),975.42
9,coldzera (Marcelo David),970.58
10,karrigan (Finn Anderson),926.94
11,NAF (Keith Markovic),924.57
12,nitr0 (Nick Cannella),881.85
13,ELiGE (Jonathan Jablonowski),872.5
14,olofmeister (Olof Kajbjer),856.16
