,Crude steel producer,Production volume in million metric tons
0,ArcelorMittal (Luxembourg),97.31
1,China Baowu Group*(China),95.47
2,Nippon Steel Corporation* (Japan),51.68
3,HBIS Group* (China),46.56
4,POSCO (South Korea),43.12
5,Shagang Group (China),41.1
6,Ansteel Group (China),39.2
7,Jianlong Group (China),31.19
8,Tata Steel* (India),30.15
9,Shougang Group (China),29.34
10,Shandong Group (China),27.58
11,JFE Steel (Japan),27.35
12,Valin Group (China),24.31
13,Nucor (U.S.),23.09
14,Hyundai Steel (South Korea),21.56
