,Cause,Number of deaths
0,"Congenital malformations, deformations and chromosomal abnormalities",412
1,"Disorders related to short gestation and low birth weight, not elsewhere classified",171
2,Newborn affected by maternal complications of pregnancy,167
3,"Newborn affected by complications of placenta, cord and membranes",93
4,Complications of labor and delivery,65
5,Intrauterine hypoxia and birth asphyxia,51
6,Neonatal haemorrhages,49
7,Bacterial sepsis of newborn,47
8,Respiratory distress of newborn,19
9,Accidents (unintentional injuries),17
10,Diseases of the circulatory system,17
11,Sudden infant death syndrome,10
