,Candidate (party),Share of votes
0,Moon Jae-in (Democratic),41.08%
1,Hong Jun-pyo (Liberty Korea),24.03%
2,Ahn Cheol-soo (People's),21.41%
3,Yoo Seung-min (Bareun),6.76%
4,Sim Sang-jung (Justice),6.17%
5,Cho Won-jin (Saenuri),0.13%
6,Oh Young-guk (Economic Patriot Party),0.01%
7,Chang Sung-min (Grand National Unity Party),0.06%
8,Lee Jae-oh (New Party 2018),0.02%
9,Kim Sun-dong (People's United),0.08%
10,Lee Kyung-hee (Korean People's Party),0.03%
11,Yoon Hong-sik (Hongik Party),0.05%
12,Kim Min-chan (Independent),0.1%
