,Country,Foreign population
0,Morocco,682515
1,Romania,675086
2,United Kingdom,285698
3,Italy,221781
4,China,183387
5,Colombia,160111
6,Ecuador,140032
7,Germany,139096
8,Bulgaria,125244
9,France,106508
10,Portugal,100414
11,Ucrania,99108
12,Venezuela,91228
13,Argentina,74466
14,Russia,73651
15,Bolivia,72443
16,Peru,66949
17,Brasil,66004
18,Poland,64881
19,Honduras,64163
20,Dominican Republic,61483
21,Paraguay,57157
22,Algeria,53530
23,Cuba,51576
24,Pakistan,50554
25,Senegal,49391
26,Netherlands,47919
27,United States,38624
28,India,36070
29,Belgium,35136
