,Year,Life expectancy in years
0,2020,82.57
1,2015,81.92
2,2010,81.06
3,2005,80.13
4,2000,79.3
5,1995,78.17
6,1990,77.16
7,1985,76.4
8,1980,75.34
9,1975,74.79
10,1970,74.12
11,1965,73.5
12,1960,72.89
13,1955,71.86
14,1950,70.33
15,1945,68.16
16,1940,65.59
17,1935,64.26
18,1930,62.43
19,1925,61.93
20,1920,56.46
21,1915,57.99
22,1910,57.26
23,1905,54.54
24,1900,53.11
25,1895,51.86
26,1890,51.44
27,1885,48.85
28,1880,46.83
29,1875,47.33
30,1870,44.02
31,1865,45.04
32,1860,42.3
33,1855,42.52
34,1850,43.3
35,1845,44.16
36,1840,41.71
37,1835,41.6
38,1830,40.12
39,1825,43.26
40,1820,39.85
41,1815,37.03
42,1810,32.79
43,1805,39.63
44,1800,32.16
45,1795,38.99
46,1790,35.92
47,1785,34.62
48,1780,38.13
49,1775,31.96
50,1770,36.51
51,1765,35.95
