,Player Name,Points scored
0,"Kevin Bradshaw (Alliant Int'l vs. Loyola Marymount, 1991)",72
1,"Pete Maravich (LSU vs. Alabama, 1970)",69
2,"Calvin Murphy (Niagara vs. Syracuse, 1968)",68
3,"Jay Handlan (Wash. & Lee vs. Furman, 1951)",66
4,"Pete Maravich (LSU vs. Tulane, 1969)",66
5,"Anthony Roberts (Oral Roberts vs. N.C. A&T, 1977)",66
6,"Anthony Roberts (Oral Roberts vs. Oregon, 1977)",65
7,"Scott Haffner (Evansville vs. Dayton, 1989)",65
8,"Pete Maravich (LSU vs. Kentucky, 1970)",64
9,"Johnny Neumann (Ole Miss vs. LSU, 1971)",63
10,"Hersey Hawkins (Bradley vs. Detroit, 1988)",63
