,Year,Import volume in billion U.S. dollars
0,2019,30.85
1,2018,31.1
2,2017,29.45
3,2016,26.04
4,2015,27.47
5,2014,30.02
6,2013,27.54
7,2012,32.12
8,2011,31.74
9,2010,23.96
10,2009,20.07
11,2008,30.45
12,2007,25.64
13,2006,26.37
14,2005,24.44
15,2004,21.16
16,2003,17.91
17,2002,15.78
18,2001,14.47
19,2000,13.85
20,1999,11.31
21,1998,10.1
22,1997,9.63
23,1996,8.77
24,1995,8.83
25,1994,8.68
26,1993,7.48
27,1992,7.61
28,1991,6.72
29,1990,7.9
30,1989,8.41
31,1988,9.29
32,1987,7.87
33,1986,6.81
34,1985,7.53
