,Response,Share of women surveyed
0,Contains only natural ingredients,79%
1,Not tested on animals,75%
2,Does not contain any chemical ingredients,72%
3,Is not polluting,66%
4,Is not harmful to animals,65%
5,Contains only organic ingredients,64%
6,Does not contain aluminum,64%
7,Does not contain parabens,64%
8,Contains no ingredients of animal origin,64%
9,Made respecting the human and human rights,63%
10,Contains essential oils,60%
11,Does not contain GMOs,60%
12,Does not contain sulphites,57%
13,Recyclable packaging,51%
14,Contains herbs,47%
