,industry,Average salary in SEK
0,Financial institutions and insurance companies,52600
1,Information and communication companies,46100
2,"Electricity, gas, steam and hot water plants",43300
3,"Professional, scientific and technical companies",43100
4,Mines and quarries,41100
5,Public authorities and national defence,37800
6,Real estate companies,37500
7,Manufacturing industry,37500
8,Construction industry,35600
9,"Water works; sewage plants, waste-disposal plants",34800
10,Trade; repair establishments for motor vehicles and motorcycles,34400
11,Educational establishments,33200
12,Human health and social work establishments,32500
13,Other service companies,32400
14,Transport and storage companies,32200
15,"Establishments for arts, entertainment and recreation",30700
16,Administrative and support service companies,30200
17,"Companies in agriculture, forestry and fishing",28900
18,Hotels and restaurants,26200
