,college football team,Revenue in million U.S. dollars
0,Texas Longhorns (Big 12),121
1,Alabama Crimson Tide (SEC),97
2,Tennessee Volunteers (SEC),94
3,Michigan Wolverines (Big Ten),88
4,Auburn Tigers (SEC),87
5,LSU Tigers (SEC),86
6,Notre Dame Fighting Irish (Independent),86
7,Ohio State Buckeyes (Big Ten),84
8,Oklahoma Sooners (Big 12),79
9,Georgia Bulldogs (SEC),76
10,Florida Gators (SEC),75
11,Penn State Nittany Lions (Big Ten),71
12,Florida State Seminoles,70
13,Washington Huskies (Pac-12),67
14,Arkansas Razorbacks (SEC),66
15,Texas A&M Aggies (SEC),62
16,Oregon Ducks (Pac-12),61
17,South Carolina Gamecocks (SEC),60
18,USC Trojans (Pac-12),60
19,Michigan State Spartans (Big Ten),59
