,Month,Number of golf courses
0,Troon Golf,270.0
1,ClubCorp,200.0
2,Pacific Golf Management,165.5
3,"Accordia Golf Co., Ltd.",158.6
4,Billy Casper Golf,150.5
5,KemperSports,134.0
6,Blue Green Groupe Saur,91.0
7,American Golf Corp.,76.0
8,Arcis,65.5
9,GreatLife Golf & Fitness,63.0
10,OB Sports,63.0
11,Marriott Golf,55.0
12,ClubLink,53.5
13,Landscapes Management Co.,50.5
14,NGF Golf,43.0
15,Century Golf Partners / Arnold Palmers Golf Management,42.0
16,Touchstone Golf,37.5
17,Crown Golf,32.0
18,Lindsey Management Co.,30.5
19,Brown Golf Management,29.0
20,"CourseCo, Inc",29.0
21,GolfNorth,29.0
22,Sunbelt Golf Corp.,26.0
23,Trump Golf,25.5
24,IMG,23.0
