,Year,Number of criminal code incidents
0,2019,2208076
1,2018,2043328
2,2017,1964129
3,2016,1912752
4,2015,1867833
5,2014,1793612
6,2013,1826431
7,2012,1957227
8,2011,1984790
9,2010,2094338
10,2009,2172809
11,2008,2204479
12,2007,2271754
13,2006,2359804
14,2005,2361974
15,2004,2427370
16,2003,2458482
17,2002,2355322
18,2001,2353330
19,2000,2334451
20,1999,2339376
21,1998,2440230
22,1997,2534766
23,1996,2644893
24,1995,2639654
25,1994,2646209
26,1993,2735623
27,1992,2847981
28,1991,2898989
29,1990,2627197
