,Quarter,Savings ratio
0,Q1 2020*,13.7%
1,Q4 2019,16.7%
2,Q3 2019,10.6%
3,Q2 2019,26.2%
4,Q1 2019,10.5%
5,Q4 2018,16.5%
6,Q3 2018,10%
7,Q2 2018,25.2%
8,Q1 2018,8.6%
9,Q4 2017,15.6%
10,Q3 2017,8.3%
11,Q2 2017,25%
12,Q1 2017,9.9%
13,Q4 2016,16.1%
14,Q3 2016,10.8%
15,Q2 2016,26.5%
16,Q1 2016,10.6%
17,Q4 2015,15%
18,Q3 2015,10.6%
19,Q2 2015,25.7%
20,Q1 2015,10.4%
21,Q4 2014,15.3%
22,Q3 2014,10.1%
23,Q2 2014,26.4%
24,Q1 2014,11.2%
25,Q4 2013,14.6%
26,Q3 2013,9.5%
27,Q2 2013,25.4%
28,Q1 2013,9.5%
29,Q4 2012,13.6%
30,Q3 2012,9.6%
31,Q2 2012,25.4%
32,Q1 2012,9.6%
33,Q4 2011,11.5%
34,Q3 2011,7.3%
35,Q2 2011,25.7%
36,Q1 2011,7.6%
37,Q4 2010,10%
38,Q3 2010,9.1%
39,Q2 2010,23.6%
40,Q1 2010,8.6%
