,State,"Burglary rate per 100,000 inhabitants"
0,New Mexico,767.8
1,Mississippi,697.8
2,Oklahoma,681.1
3,Louisiana,668.1
4,Arkansas,636.8
5,North Carolina,599.9
6,Alabama,590.1
7,Nevada,584.7
8,South Carolina,579.7
9,Alaska,539.6
10,Washington,533.5
11,Tennessee,489.4
12,Missouri,444.9
13,Arizona,439.7
14,Georgia,431.3
15,Kansas,430.6
16,California,416.2
17,Ohio,412.2
18,Texas,410.8
19,Hawaii,396.4
20,Oregon,389.1
21,Kentucky,384.7
22,Indiana,377.6
23,United States,376.0
24,Colorado,375.2
25,North Dakota,358.4
26,Iowa,352.6
27,Florida,337.7
28,Delaware,326.5
29,Michigan,316.6
30,Utah,315.3
31,Maryland,312.6
32,Illinois,306.7
33,Montana,306.6
34,West Virginia,296.5
35,South Dakota,291.4
36,Minnesota,288.4
37,Idaho,281.6
38,Nebraska,271.9
39,Rhode Island,265.8
40,Wyoming,264.0
41,District of Columbia,254.5
42,Wisconsin,242.5
43,Vermont,234.2
44,Connecticut,222.5
45,New Jersey,215.9
46,Pennsylvania,211.6
47,Maine,202.7
48,Massachusetts,200.8
49,Virginia,182.8
50,New York,159.3
51,New Hampshire,136.2
