,European Football Teams,Appearances by club
0,Sporting Clube de Portugal,33
1,Club Brugge,30
2,FK Crvena zvezda,28
3,FK Partizan,28
4,FC Inter Milan,27
5,Feyenoord,27
6,PAOK FC,27
7,AFC Ajax,26
8,FC Spartak Moscow,26
9,PFC Levski Sofia,26
10,HNK Hajduk Split,26
11,AEK Athens FC,25
12,Rapid Vienna,25
13,GNK Dinamo Zagreb,24
14,Grasshopper Club,24
15,Fenerbahce SK,24
16,PSV Eindhoven,24
17,SK Slavia Praha,23
18,FC Dinamo 1948,23
19,Brondby IF,23
20,Legia Warszawa SA,23
21,FC Dinamo Tbilisi,23
22,PFC CSKA Sofia,22
23,FC Girondins de Bordeaux,22
24,Panathinaikos FC,22
25,Olympiacos FC,22
26,R. Standard de Liège,22
27,Aberdeen FC,22
28,Celtic FC,22
29,RSC Anderlecht,21
