,Year,Export Volume (in billion U.S. dollars)
0,2019,30.8
1,2018,37.31
2,2017,39.85
3,2016,34.9
4,2015,37.18
5,2014,40.91
6,2013,42.33
7,2012,37.47
8,2011,36.4
9,2010,26.57
10,2009,21.05
11,2008,21.5
12,2007,19.9
13,2006,17.74
14,2005,16.35
15,2004,15.83
16,2003,13.52
17,2002,12.59
18,2001,14.03
19,2000,14.58
20,1999,12.65
21,1998,12.93
22,1997,15.12
23,1996,13.97
24,1995,14.23
25,1994,11.44
26,1993,9.87
27,1992,9.08
28,1991,8.14
29,1990,6.82
30,1989,6.29
31,1988,5.69
32,1987,3.98
33,1986,3.03
34,1985,2.79
