,Year,Gross domestic product in billion international dollars
0,2021*,1910.0
1,2020*,1797.17
2,2019,1904.39
3,2018,1841.63
4,2017,1762.34
5,2016,1676.6
6,2015,1642.97
7,2014,1615.39
8,2013,1541.79
9,2012,1480.71
10,2011,1427.71
11,2010,1355.84
12,2009,1300.05
13,2008,1329.1
14,2007,1290.78
15,2006,1231.5
16,2005,1164.64
17,2004,1094.4
18,2003,1033.79
19,2002,996.98
20,2001,952.7
21,2000,915.86
22,1999,851.74
23,1998,798.4
24,1997,759.9
25,1996,716.36
26,1995,692.27
27,1994,660.26
28,1993,618.66
29,1992,588.67
30,1991,570.42
31,1990,563.52
32,1989,542.29
33,1988,510.02
34,1987,471.84
35,1986,442.43
36,1985,424.59
37,1984,392.96
