,Year,Gross domestic product in billion U.S. dollars
0,2024*,46.4
1,2023*,44.28
2,2022*,42.4
3,2021*,40.76
4,2020*,39.31
5,2019*,38.18
6,2018,37.75
7,2017,35.43
8,2016,32.25
9,2015,31.13
10,2014,33.39
11,2013,32.54
12,2012,30.75
13,2011,28.78
14,2010,25.71
15,2009,22.94
16,2008,25.71
17,2007,21.73
18,2006,18.51
19,2005,15.97
20,2004,13.15
21,2003,11.08
22,2002,9.59
23,2001,9.19
24,2000,9.06
25,1999,7.58
26,1998,7.0
27,1997,7.32
28,1996,7.06
29,1995,6.79
30,1994,6.41
31,1993,5.99
32,1992,5.44
33,1991,5.21
34,1990,4.97
35,1989,4.68
36,1988,4.48
37,1987,3.63
38,1986,3.35
39,1985,4.28
40,1984,4.53
