,Country,Number of households in thousands
0,Germany,40722.6
1,France,29314.4
2,United Kingdom,28822.3
3,Italy,25864.7
4,Turkey,23087.9
5,Spain,18512.5
6,Poland,14465.8
7,Netherlands,7819.0
8,Romania,7481.9
9,Sweden,4862.7
10,Belgium,4761.7
11,Czech Republic,4697.8
12,Greece,4393.9
13,Hungary,4131.4
14,Portugal,4102.7
15,Austria,3889.1
16,Bulgaria,2905.4
17,Finland,2655.5
18,Denmark,2395.9
19,Slovakia,1874.5
20,Ireland,1798.4
21,Croatia,1471.6
22,Lithuania,1357.0
23,Slovenia,881.1
24,Latvia,850.1
25,Estonia,584.0
26,Macedonia,566.8
27,Cyprus,317.8
28,Luxembourg,242.4
29,Montenegro,179.6
30,Malta,150.2
