,Quarter,Revenue in million U.S. dollars
0,Q3 '20,1954
1,Q2 '20,1932
2,Q1 '20,1788
3,Q4 '19,1986
4,Q3 '19,1282
5,Q2 '19,1396
6,Q1 '19,1825
7,Q4 '18,2381
8,Q3 '18,1512
9,Q2 '18,1641
10,Q1 '18,1965
11,Q4 '17,2043
12,Q3 '17,1618
13,Q2 '17,1631
14,Q1 '17,1726
15,Q4 '16,2014
16,Q3 '16,1568
17,Q2 '16,1570
18,Q1 '16,1455
19,Q4 '15,1353
20,Q3 '15,990
21,Q2 '15,1044
22,Q1 '15,1278
23,Q4 '14,1575
24,Q3 '14,753
25,Q2 '14,970
26,Q1 '14,1111
27,Q4 '13,1518
28,Q3 '13,691
29,Q2 '13,1050
30,Q1 '13,1324
31,Q4 '12,1768
32,Q3 '12,841
