,State,Percentage of homicides
0,Missouri,85.87%
1,South Carolina,85.62%
2,Illinois*,83.92%
3,Maryland,83.48%
4,Delaware,83.33%
5,Louisiana,82.95%
6,Georgia,82.47%
7,District of Columbia,81.93%
8,Mississippi,80.95%
9,Kentucky,78.73%
10,Tennessee,78.51%
11,Nebraska,77.78%
12,Pennsylvania,77.16%
13,Texas,77.16%
14,Arkansas,76.62%
15,Virginia,75.64%
16,Alabama*,75%
17,Indiana,74.9%
18,North Carolina,74.22%
19,Ohio,73.32%
20,Vermont,72.73%
21,Oklahoma,71.59%
22,Washington,69.59%
23,Minnesota,69.3%
24,Wyoming,69.23%
25,Michigan,68.78%
26,California,68.02%
27,New Jersey,67.18%
28,Wisconsin,66.85%
29,West Virginia,66.67%
30,New Mexico,65.75%
31,Maine,65%
32,Colorado,64.59%
33,Nevada,63.95%
34,Alaska,63.77%
35,Arizona,63.2%
36,Connecticut,62.5%
37,Oregon,62.24%
38,Utah,62.12%
39,Iowa,62.07%
40,Kansas,60.22%
41,Montana,59.26%
42,Massachusetts,58.9%
43,New York,54.18%
44,North Dakota,50%
45,New Hampshire,48.48%
46,Idaho,45.71%
47,Rhode Island,40%
48,South Dakota,36.84%
49,Hawaii,28.13%
