,match,Audience share
0,Belgium vs. Brasil,44.5%
1,Croatia vs. Russia,44.3%
2,Uruguay vs. Portugal,42.9%
3,Germany vs. Mexico,39.4%
4,Colombia vs. United Kingdom,39.2%
5,Croatia vs. Denmark,38.7%
6,Belgium vs. Japan,36.8%
7,Brazil vs. Switzerland,36.3%
8,Argentina vs. Croatia,34%
9,Portugal vs. Spain,33.3%
10,Nigeria vs. Argentina,32.7%
11,Russia vs. Saudi Arabia,29.8%
12,Serbia vs. Brasil,28.9%
13,Tunisia vs. United Kingdom,27.8%
14,Peru vs. Denmark,25.6%
15,Argentina vs. Iceland,24.1%
16,France vs. Australia,24.1%
17,Costa Rica vs. Serbia,23.4%
18,Morocco vs. Iran,23%
19,Croatia vs. Nigeria,22%
20,Egypt vs. Uruguay,20.2%
