,Fiscal quarters,Sales in million units
0,Q4 '14,2.64
1,Q3 '14,2.93
2,Q2 '14,2.76
3,Q1 '14,6.05
4,Q4 '13,3.5
5,Q3 '13,4.57
6,Q2 '13,5.63
7,Q1 '13,12.68
8,Q4 '12,5.34
9,Q3 '12,6.75
10,Q2 '12,7.67
11,Q1 '12,15.4
12,Q4 '11,6.62
13,Q3 '11,7.54
14,Q2 '11,9.02
15,Q1 '11,19.45
16,Q4 '10,9.05
17,Q3 '10,9.41
18,Q2 '10,10.89
19,Q1 '10,20.97
20,Q4 '09,10.18
21,Q3 '09,10.22
22,Q2 '09,11.01
23,Q1 '09,22.73
24,Q4 '08,11.05
25,Q3 '08,11.01
26,Q2 '08,10.64
27,Q1 '08,22.12
28,Q4 '07,10.2
29,Q3 '07,9.82
30,Q2 '07,10.55
31,Q1 '07,21.07
32,Q4 '06,8.73
33,Q3 '06,8.11
34,Q2 '06,8.53
35,Q1 '06,14.04
