,Quarter,Viewers in thousands
0,Q1 2012,19445
1,Q2 2012,17076
2,Q3 2012,16977
3,Q4 2012,17421
4,Q1 2013,17635
5,Q2 2013,15928
6,Q3 2013,14765
7,Q4 2013,16090
8,Q1 2014,15555
9,Q2 2014,14439
10,Q3 2014,15074
11,Q4 2014,16594
12,Q1 2015,16480
13,Q2 2015,15105
14,Q3 2015,15127
15,Q4 2015,14550
16,Q1 2016,16071
17,Q2 2016,15327
18,Q3 2016,15641
19,Q4 2016,16937
20,Q1 2017,15591
21,Q2 2017,14651
22,Q3 2017,13972
23,Q4 2017,15609
24,Q1 2018,15537
25,Q2 2018,14091
26,Q3 2018,14264
27,Q4 2018,14669
28,Q1 2019,13957
29,Q2 2019,12407
30,Q3 2019,13442
