,Brand/Segment,Percent sales change
0,Neutrogena/ makeup remover implements,23.7%
1,CoverGirl Last Blast/ mascara,-14.1%
2,Revlon Super Lustrous/ lipstick,9.9%
3,L'Oréal Voluminous/ mascara,2.9%
4,Maybelline Volum'Express Falsies/ mascara,-17.2%
5,CoverGirl Clean/ powder,-2.4%
6,Revlon ColorStay/ foundation,9.9%
7,Maybelline Great Lash/ mascara,-9.6%
8,CoverGirl Outlast/ lipstick,2%
9,CoverGirl Clean/ foundation,-3.3%
10,Revlon ColorStay/ eyeliner,-6.5%
11,L'Oréal True Match/ foundation,-0.6%
12,L'Oréal Colour Riche/ lipstick,-2.8%
13,CoverGirl Perfect Point Plus/ eyeliner,-0.4%
14,Maybelline Volum'Express Colossal/ mascara,5.4%
15,Maybelline Color Sensational/ lipstick,14.9%
16,L'Oréal True Match/ powder,5.4%
17,Maybelline Expert Wear/ eyeshadow,-7.5%
18,Maybelline Volum'Express Rocket/ mascara,144%
19,CoverGirl Eye Enhancers/ eyeshadow,-8.7%
