,Month,Number of cars sold
0,Jan '20,31163
1,Dec '19,224
2,Nov '19,741
3,Oct '19,2164
4,Sep '19,3415
5,Aug '19,5087
6,Jul '19,24681
7,Jun '19,1408
8,May '19,6320
9,Apr '19,8904
10,Mar '19,16687
11,Feb '19,15069
12,Jan '19,32370
13,Dec '18,142
14,Nov '18,645
15,Oct '18,1689
16,Sep '18,3192
17,Aug '18,5921
18,Jul '18,26958
19,Jun '18,1251
20,May '18,6056
21,Apr '18,8053
22,Mar '18,17728
23,Feb '18,17012
24,Jan '18,37034
25,Dec '17,159
26,Nov '17,682
27,Oct '17,1943
28,Sep '17,3897
29,Aug '17,5730
30,Jul '17,27706
31,Jun '17,1400
32,May '17,5992
33,Apr '17,7841
34,Mar '17,19890
35,Feb '17,17089
36,Jan '17,39003
