,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",165.78
1,Professional and business services,112.06
2,Manufacturing,99.64
3,Government and government enterprises,72.02
4,"Educational services, health care, and social assistance",68.05
5,Wholesale trade,58.73
6,Retail trade,43.01
7,Information,34.31
8,Transportation and warehousing,30.17
9,"Arts, entertainment, recreation, accommodation, and food services",29.04
10,Construction,22.6
11,Utilities,12.7
12,"Agriculture, forestry, fishing, and hunting",7.43
13,"Mining, quarrying, and oil and gas extraction",2.18
