,State,Number of robberies
0,California,52301
1,Texas,28988
2,New York,18068
3,Florida,16217
4,Illinois,12464
5,Pennsylvania,9743
6,Maryland,9203
7,Ohio,8846
8,Georgia,7961
9,North Carolina,7599
10,Arizona,6410
11,Tennessee,6150
12,New Jersey,5730
13,Michigan,5350
14,Indiana,5331
15,Washington,5147
16,Missouri,4959
17,Louisiana,4025
18,Alabama,3941
19,Colorado,3663
20,Massachusetts,3613
21,Virginia,3524
22,South Carolina,3294
23,Nevada,3286
24,Minnesota,3149
25,Wisconsin,2991
26,District of Columbia,2713
27,Oklahoma,2369
28,New Mexico,2341
29,Oregon,2276
30,Kentucky,2161
31,Connecticut,1929
32,Mississippi,1700
33,Arkansas,1557
34,Kansas,1293
35,Hawaii,1131
36,Utah,1125
37,Iowa,863
38,Alaska,826
39,Nebraska,792
40,Delaware,790
41,Rhode Island,418
42,West Virginia,378
43,New Hampshire,313
44,Montana,205
45,South Dakota,195
46,Maine,188
47,North Dakota,179
48,Idaho,155
49,Vermont,71
50,Wyoming,67
