,Year,Agriculture,Industry,Services
0,2017,0.92%,18.21%,77.37%
1,2016,0.94%,17.95%,77.55%
2,2015,1.04%,18.52%,76.82%
3,2014,1.19%,19.3%,75.84%
4,2013,1.33%,19.26%,75.77%
5,2012,1.16%,19.16%,76.15%
6,2011,1.22%,19.42%,75.86%
7,2010,1.04%,19.36%,76.21%
8,2009,0.97%,19.32%,76.44%
9,2008,1.07%,20.86%,74.53%
10,2007,1.07%,21.45%,73.9%
11,2006,1%,21.59%,73.7%
12,2005,1.14%,21.22%,74.02%
13,2004,1.26%,20.96%,74.16%
14,2003,1.12%,20.74%,74.61%
15,2002,0.97%,20.64%,74.88%
16,2001,1.13%,21.47%,74.01%
17,2000,1.15%,22.45%,72.82%
