,MLB Teams,Twitter followers in thousands
0,New York Yankees,3400
1,Chicago Cubs,2560
2,Toronto Blue Jays,2260
3,Los Angeles Dodgers,2140
4,Boston Red Sox,2120
5,Philadelphia Phillies,1840
6,San Francisco Giants,1770
7,Houston Astros,1480
8,Detroit Tigers,1460
9,Texas Rangers,1430
10,Atlanta Braves,1280
11,St. Louis Cardinals,1220
12,Los Angeles Angels,1090
13,New York Mets,1060
14,Kansas City Royals,1060
15,Cleveland Indians,1050
16,Chicago White Sox,918
17,Cincinnati Reds,846
18,Baltimore Orioles,789
19,Pittsburgh Pirates,749
20,Washington Nationals,704
21,Minnesota Twins,628
22,Milwaukee Brewers,610
23,Arizona Diamondbacks,585
24,Colorado Rockies,571
25,Seattle Mariners,564
26,Oakland Athletics,557
27,Tampa Bay Rays,552
28,San Diego Padres,407
29,Miami Marlins,337
