,Country,Number of employees
0,Germany,117013
1,France,98786
2,Italy,65400
3,United Kingdom,63250
4,Switzerland,46503
5,Spain,42687
6,Belgium,35711
7,Romania,30000
8,Poland,29873
9,Ireland,29766
10,Hungary,29400
11,Denmark,26963
12,Turkey,20000
13,Greece,19700
14,Netherlands,17900
15,Austria,14860
16,Bulgaria,11500
17,Sweden,11012
18,Czech Republic,10083
19,Slovenia,9954
20,Portugal,7700
21,Croatia,5474
22,Finland,4722
23,Norway,3800
24,Slovakia,2287
25,Latvia,2154
26,Lithuania,1220
27,Cyprus,1140
28,Malta,1057
29,Estonia,380
