,Country,Contribution in U.S. billion dollars
0,Caribbean,58.9
1,Dominican Republic,14.34
2,Cuba,10.79
3,Bahamas,5.79
4,Jamaica,5.03
5,Puerto Rico,4.62
6,US Virgin Islands,2.29
7,Aruba,2.14
8,Trinidad and Tobago,2.11
9,Former Netherlands Antilles,1.99
10,Barbados,1.48
11,Antigua and Barbuda,1.43
12,St Lucia,1.23
13,Bermuda,1.23
14,Cayman Islands,1.1
15,Guadeloupe,1.01
16,Martinique,0.8
17,Haiti,0.71
18,British Virgin Islands,0.56
19,St Kitts and Nevis,0.55
20,Grenada,0.51
21,St Vincent and the Grenadines,0.35
22,Dominica,0.2
23,Anguilla,0.14
