,Response,Share of e-commerce sales
0,Electronic shopping and mail-order houses,73.8%
1,Nonstore retailers,65.1%
2,Total Retail Trade,9.9%
3,Clothing and clothing accessories stores,4.1%
4,"Sporting goods, hobby, musical instrument, and book stores",3.2%
5,Motor vehicle and parts dealers,3%
6,Electronics and appliance stores,2.1%
7,Furniture and home furnishings stores,1.3%
8,Building material and garden equipment and supplies dealers,0.7%
9,Food and beverage stores,0.6%
10,Health and personal care stores,0.2%
11,Miscellaneous store retailers,-
12,Gasoline stations,-
13,General merchandise stores,-
