,Response,Share of population
0,Guerrero,28.8%
1,Oaxaca,25.1%
2,Chiapas,23.6%
3,Quintana Roo,21%
4,Veracruz,16.9%
5,Campeche,16.5%
6,Baja California Sur,14.2%
7,Yucatán,13.6%
8,Michoacán,12.7%
9,Tabasco,12.3%
10,Nayarit,11.9%
11,Puebla,11.7%
12,Morelos,11.3%
13,National average,11.1%
14,Hidalgo,9.8%
15,State of Mexico,9.6%
16,Baja California,9.5%
17,Colima,9.4%
18,Guanajuato,9.1%
19,Tlaxcala,8.7%
20,San Luis Potosí,8.6%
21,Sonora,8.6%
22,Sinaloa,8.5%
23,Querétaro,8.5%
24,Tamaulipas,7.7%
25,Jalisco,7.1%
26,Chihuahua,7%
27,Zacatecas,5.4%
28,Mexico City,5.1%
29,Durango,4.8%
30,Aguascalientes,4.6%
31,Coahuila,4.4%
32,Nuevo León,3.1%
