,Quarter,Revenue in million GBP
0,Q1 2020,5250
1,Q4 2019,5632
2,Q3 2019,5779
3,Q2 2019,5780
4,Q1 2019,5633
5,Q4 2018,5853
6,Q3 2018,5982
7,Q2 2018,5908
8,Q1 2018,5716
9,Q4 2017,5926
10,Q3 2017,6065
11,Q2 2017,5935
12,Q1 2017,5835
13,Q4 2016,6089
14,Q3 2016,6166
15,Q2 2016,6074
16,Q1 2016,5778
17,Q4 2015,5640
18,Q3 2015,4587
19,Q2 2015,4377
20,Q1 2015,4275
21,Q4 2014,4639
22,Q3 2014,4599
23,Q2 2014,4383
24,Q1 2014,4354
25,Q4 2013,4748
26,Q3 2013,4599
27,Q2 2013,4491
28,Q1 2013,4449
29,Q4 2012,4815
30,Q3 2012,4527
31,Q2 2012,4493
32,Q1 2012,4504
