,Year,Population in millions
0,2019,747183
1,2018,746419
2,2017,745415
3,2016,744269
4,2015,743059
5,2014,741818
6,2013,740542
7,2012,739225
8,2011,737851
9,2010,736413
10,2009,734923
11,2008,733417
12,2007,731939
13,2006,730547
14,2005,729288
15,2004,728150
16,2003,727134
17,2002,726312
18,2001,725772
19,2000,725558
20,1999,725705
21,1998,726142
22,1997,726669
23,1996,727020
24,1995,726994
25,1994,726529
26,1993,725657
27,1992,724390
28,1991,722776
29,1990,720858
30,1989,718617
31,1988,716057
32,1987,713279
33,1986,710422
34,1985,707584
35,1984,704808
36,1983,702071
37,1982,699330
38,1981,696514
39,1980,693567
40,1979,690485
41,1978,687286
42,1977,683960
43,1976,680498
44,1975,676895
45,1974,673132
46,1973,669208
47,1972,665163
48,1971,661056
49,1970,656919
50,1969,652790
51,1968,648636
52,1967,644345
53,1966,639762
54,1965,634783
55,1964,629367
56,1963,623575
57,1962,617536
58,1961,611434
59,1960,605407
60,1959,599513
61,1958,593743
62,1957,588048
63,1956,582371
64,1955,576679
65,1954,570970
66,1953,565282
67,1952,559694
68,1951,554324
69,1950,549329
