,Week ending,Number of deaths
0,"Jan 3, 2021",584454
1,"Dec 27, 2020",552984
2,"Dec 20, 2020",516839
3,"Dec 13, 2020",481991
4,"Dec 6, 2020",445806
5,"Nov 29, 2020",409496
6,"Nov 22, 2020",372454
7,"Nov 15, 2020",338755
8,"Nov 8, 2020",308257
9,"Nov 1, 2020",281637
10,"Oct 25, 2020",263348
11,"Oct 18, 2020",250893
12,"Oct 11, 2020",242134
13,"Oct 4, 2020",235457
14,"Sep 27, 2020",230294
15,"Sep 20, 2020",225620
16,"Sep 13, 2020",221427
17,"Sep 6, 2020",218320
18,"Aug 30, 2020",215374
19,"Aug 23, 2020",212836
20,"Aug 16, 2020",210443
21,"Aug 9, 2020",207962
22,"Aug 2, 2020",205559
23,"Jul 26, 2020",203281
24,"Jul 19, 2020",201043
25,"Jul 12, 2020",198613
26,"Jul 5, 2020",195853
27,"Jun 28, 2020",193055
28,"Jun 21, 2020",190248
29,"Jun 14, 2020",185651
30,"Jun 7, 2020",181875
31,"May 31, 2020",177346
32,"May 24, 2020",171621
33,"May 17, 2020",165968
34,"May 10, 2020",156442
35,"May 3, 2020",144551
36,"Apr 26, 2020",128533
37,"Apr 19, 2020",107597
38,"Apr 12, 2020",80856
39,"Apr 5, 2020",52075
40,"Mar 29, 2020",25354
41,"Mar 22, 2020",9031
42,"Mar 15, 2020",2378
43,"Mar 8, 2020",398
44,"Mar 1, 2020",38
45,"Feb 23, 2020",3
46,"Feb 16, 2020",1
