,Year,Expenditure in million GBP
0,2019 Q2,26498
1,2019 Q1,26316
2,2018 Q4,26192
3,2018 Q3,26137
4,2018 Q2,25971
5,2018 Q1,25837
6,2017 Q4,25609
7,2017 Q3,25245
8,2017 Q2,25026
9,2017 Q1,24658
10,2016 Q4,24231
11,2016 Q3,24016
12,2016 Q2,23640
13,2016 Q1,23351
14,2015 Q4,23090
15,2015 Q3,22849
16,2015 Q2,22768
17,2015 Q1,22661
18,2014 Q4,23162
19,2014 Q3,23447
20,2014 Q2,23345
21,2014 Q1,23378
22,2013 Q4,23348
23,2013 Q3,23090
24,2013 Q2,22811
25,2013 Q1,22783
26,2012 Q4,22841
27,2012 Q3,22179
28,2012 Q2,22008
29,2012 Q1,22197
