,basketball team,Facebook fans in millions
0,NBA*,38.54
1,Los Angeles Lakers,21.9
2,Chicago Bulls,17.42
3,Miami Heat,14.96
4,Houston Rockets,14.84
5,Golden State Warriors,11.6
6,Boston Celtics,8.88
7,Cleveland Cavaliers,8.37
8,Sacramento Kings,7.83
9,San Antonio Spurs,6.93
10,Oklahoma City Thunder,6.91
11,New York Knicks,5.72
12,Washington Wizards,4.77
13,Dallas Mavericks,4.35
14,Los Angeles Clippers,3.78
15,Indiana Pacers,3.18
16,Brooklyn Nets,2.72
17,Orlando Magic,2.7
18,Toronto Raptors,2.65
19,Portland Trailblazers,2.43
20,Detroit Pistons,2.04
21,Denver Nuggets,1.99
22,Milwaukee Bucks,1.91
23,Phoenix Suns,1.86
24,Minnesota Timberwolves,1.85
25,Utah Jazz,1.81
26,Memphis Grizzlies,1.79
27,New Orleans Pelicans,1.76
28,Philadelphia 76ers,1.75
29,Charlotte Hornets,1.71
30,Atlanta Hawks,1.59
