,Month,USD BRL exchange rate
0,Nov-20,5.34
1,Oct-20,5.78
2,Sep-20,5.63
3,Aug-20,5.39
4,Jul-20,5.15
5,Jun-20,5.4
6,May-20,5.27
7,Apr-20,5.33
8,Mar-20,5.19
9,Feb-20,4.48
10,Jan-20,4.24
11,Dec-19,4.02
12,Nov-19,4.26
13,Oct-19,3.99
14,Sep-19,4.16
15,Aug-19,4.17
16,Jul-19,3.79
17,Jun-19,3.82
18,May-19,3.98
19,Apr-19,3.94
20,Mar-19,3.99
21,Feb-19,3.73
22,Jan-19,3.68
23,Dec-18,3.87
24,Nov-18,3.85
25,Oct-18,3.69
26,Sep-18,4.01
27,Aug-18,4.15
28,Jul-18,3.73
29,Jun-18,3.86
30,May-18,3.72
31,Apr-18,3.46
32,Mar-18,3.3
33,Feb-18,3.25
34,Jan-18,3.18
35,Dec-17,3.31
36,Nov-17,3.24
37,Oct-17,3.29
38,Sep-17,3.18
39,Aug-17,3.16
40,Jul-17,3.18
41,Jun-17,3.3
42,May-17,3.26
43,Apr-17,3.18
44,Mar-17,3.15
45,Feb-17,3.11
