,Country,Subscriptions per 100 inhabitants
0,Anguilla (UK),50.6
1,Antigua and Barbuda,49.9
2,Aruba (Netherlands),45.3
3,Bahamas,38.2
4,Barbados,37.3
5,Belize,34.6
6,Bermuda,33.6
7,Uruguay,33.4
8,Saint Kitts and Nevis*,33.2
9,Bolivia,32.5
10,Brazil,27.5
11,British Virgin Islands,27.4
12,Puerto Rico,23.1
13,Trinidad and Tobago,23.1
14,Argentina,21.9
15,Saint Lucia,20.1
16,Cayman Islands,19.6
17,Venezuela,19.2
18,Chile,18.3
19,Saint Vincent and the Grenadines,17.4
20,Colombia,16.9
21,Panama,16.1
22,Costa Rica,16.0
23,Suriname,15.3
24,Cuba,15.3
25,Curaçao (Netherlands),14.5
26,Dominica,13.7
27,Dominican Republic,13.0
28,Ecuador,12.8
29,El Salvador,12.5
30,Peru*,9.8
31,Falkland/Malvinas Islands,8.7
32,Paraguay,4.4
33,Grenada,3.8
34,Mexico*,3.7
35,Guatemala,3.6
36,Guyana,2.4
37,Haiti,1.9
38,Honduras,1.6
39,Jamaica,0.5
