,Month/day/year,Index points
0,12/14/2020,12595.06
1,12/7/2020,12377.87
2,11/30/2020,12464.23
3,11/23/2020,12205.85
4,11/16/2020,11854.97
5,11/9/2020,11829.29
6,11/2/2020,11895.23
7,10/25/2020,10911.59
8,10/18/2020,11548.28
9,10/11/2020,11671.56
10,10/4/2020,11579.94
11,9/30/2020,11154.6
12,9/23/2020,11085.25
13,9/16/2020,10910.28
14,9/9/2020,11190.32
15,9/2/2020,10847.69
16,8/26/2020,11939.67
17,8/19/2020,11466.47
18,8/12/2020,11210.84
19,8/5/2020,10782.82
20,7/29/2020,10941.17
21,7/22/2020,10402.09
22,7/15/2020,10680.36
23,7/8/2020,10488.58
24,7/1/2020,10343.89
25,6/24/2020,10058.77
26,6/17/2020,10131.37
27,6/10/2020,9895.87
28,6/3/2020,9953.75
29,5/27/2020,9608.38
30,5/20/2020,9340.22
31,5/13/2020,9185.1
32,5/6/2020,9002.55
33,4/29/2020,8914.71
34,4/22/2020,8607.73
35,4/15/2020,8393.18
36,4/8/2020,8515.74
37,4/1/2020,7887.26
38,3/25/2020,7384.29
39,3/18/2020,7417.86
40,3/11/2020,7334.78
41,3/4/2020,8344.25
42,2/26/2020,8684.09
43,2/19/2020,8965.61
44,2/12/2020,9732.74
45,2/5/2020,9638.94
46,1/29/2020,9467.97
47,1/22/2020,9269.68
48,1/15/2020,9370.81
49,1/8/2020,9251.33
50,1/1/2020,9068.58
