,Year,Export volume in billion U.S. dollars
0,2019,56.9
1,2018,56.51
2,2017,48.35
3,2016,42.26
4,2015,43.48
5,2014,44.65
6,2013,41.65
7,2012,42.28
8,2011,43.46
9,2010,38.82
10,2009,28.61
11,2008,34.67
12,2007,34.4
13,2006,32.22
14,2005,27.57
15,2004,26.19
16,2003,24.07
17,2002,22.58
18,2001,22.18
19,2000,27.83
20,1999,22.96
21,1998,16.49
22,1997,25.05
23,1996,26.62
24,1995,25.38
25,1994,18.03
26,1993,14.78
27,1992,14.64
28,1991,15.51
29,1990,14.4
30,1989,13.46
31,1988,11.23
32,1987,8.1
33,1986,6.36
34,1985,5.96
