,Country,Number of people in thousands
0,Poland,900
1,Romania,450
2,India,365
3,Republic of Ireland,320
4,Italy,304
5,Portugal,251
6,Pakistan,207
7,France,191
8,Lithuania,189
9,Spain,188
10,Germany,143
11,United States of America,140
12,Bulgaria,121
13,China,112
14,Hungary,109
15,Latvia,100
16,Nigeria,98
17,Netherlands,88
18,Australia,86
19,South Africa,86
20,Slovakia,80
21,Philippines,74
22,Greece,66
23,Bangladesh,65
24,Brazil,54
25,Sweden,53
26,Nepal,51
27,Canada,49
28,Syria,47
29,Ghana,46
30,Zimbabwe,45
31,Sri Lanka,45
32,Turkey,43
33,New Zealand,42
34,Iran,39
35,Malaysia,38
36,Afghanistan,37
37,Czech Republic,37
38,Albania,36
39,Russia,36
40,Jamaica,35
41,Somalia,35
42,Japan,33
43,Iraq,32
44,Belgium,30
45,Thailand,25
46,Ukraine,25
47,Norway,22
48,Denmark,22
49,Sudan,22
50,Saudi Arabia,19
51,Moldova,18
52,Finland,17
53,Egypt,17
54,Switzerland,17
55,Colombia,16
56,Eritrea,14
57,Cyprus (European Union),13
58,Kenya,13
59,Vietnam,13
