,Year,Number of recipients in thousands
0,2029-30*,2029.0
1,2028-29*,2030.0
2,2027-28*,2030.0
3,2026-27*,2027.0
4,2025-26*,2020.0
5,2024-25*,2013.0
6,2023-24*,2007.0
7,2022-23*,2002.0
8,2021-22*,2000.0
9,2020-21*,1998.0
10,2019-20*,1996.0
11,2018-19*,1989.0
12,2017-18,1980.64
13,2016-17,1956.11
14,2015-16,1920.75
15,2014-15,1894.97
16,2013-14,1870.15
17,2012-13,1840.38
18,2011-12,1792.16
19,2010-11,1716.05
20,2009-10,1649.92
21,2008-09,1601.4
22,2007-08,1563.73
23,2006-07,1524.73
24,2005-06,1485.1
25,2004-05,1439.26
26,2003-04,1399.54
27,2002-03,1348.81
28,2001-02,1291.9
29,2000-01,1244.17
30,1999-00,1237.88
31,1989-90,1051.34
32,1979-80,929.42
33,1969-70,792.32
34,1959-60,392.44
35,1949-50,432.06
36,1939-40,186.5
37,1929-30,122.48
38,1919-20,48.62
39,1909-10,37.2
40,1899-00,27.41
41,1889-90,15.54
42,1879-80,12.9
43,1869-70,9.37
