,industry classification,GDP in million chained 2012 Canadian dollars
0,Real estate and rental and leasing,8276.3
1,Manufacturing,6140.8
2,Health care and social assistance,5765.6
3,Public administration,5043.3
4,Construction,4814.5
5,Transportation and warehousing,4166.4
6,Educational services,3652.0
7,Retail trade,3494.7
8,Finance and insurance,3431.0
9,"Agriculture, forestry, fishing and hunting",3265.6
10,Wholesale trade,3038.9
11,Utilities,2160.4
12,"Professional, scientific and technical services",2108.6
13,"Mining, quarrying, and oil and gas extraction",1930.5
14,Information and cultural industries,1773.3
15,Accommodation and food services,1284.2
16,Other services (except public administration),1150.2
17,"Administrative and support, waste management and remediation services",1017.5
18,"Arts, entertainment and recreation",467.9
19,Management of companies and enterprises,305.1
