,department of Colombia,Number of cases
0,Bogotá D.C.,314745
1,Antioquia,163952
2,Valle del Cauca,81101
3,Atlántico,71334
4,Cundinamarca,41740
5,Santander,41505
6,Bolívar,32571
7,Córdoba,26139
8,Cesar,25536
9,Meta,22208
10,Huila,21578
11,Nariño,21537
12,Norte de Santander,20941
13,Tolima,18818
14,Magdalena,17156
15,Risaralda,16926
16,Sucre,15355
17,Boyacá,13727
18,Cauca,13021
19,Caldas,12847
20,Caquetá,11136
21,La Guajira,9733
22,Quindío,9378
23,Casanare,4822
24,Putumayo,4318
25,Chocó,4174
26,Arauca,3135
27,Amazonas,2892
28,San Andrés y Providencia,1866
29,Guaviare,1416
30,Guainía,1118
31,Vaupés,1062
32,Vichada,787
