,Year,Beer in million liters
0,2020*,0.0
1,2019,7.3
2,2018,7.5
3,2017,7.5
4,2016,6.6
5,2015,7.3
6,2014,7.7
7,2013,6.7
8,2012,7.4
9,2011,7.5
10,2010,7.0
11,2009,6.5
12,2008,6.49
13,2007,6.94
14,2006,6.86
15,2005,6.1
16,2004,6.12
17,2003,6.23
18,2002,5.76
19,2001,4.87
20,2000,6.55
21,1999,6.01
22,1998,5.48
23,1997,5.59
24,1996,5.26
25,1995,5.02
26,1994,5.21
27,1993,5.19
28,1992,4.89
29,1991,5.47
30,1990,5.43
31,1989,5.12
32,1988,5.1
33,1987,5.28
34,1986,5.38
35,1985,5.45
36,1984,4.97
37,1983,4.58
38,1982,4.33
39,1981,4.24
40,1980,3.84
