,the most successful films,Number of tickets sold in thousands
0,Avengers: Endgame,558
1,Joker,500
2,The Lion King,492
3,Hunting Season,463
4,Daniel,462
5,Green Book,407
6,Frozen 2,406
7,Queen Of Hearts,323
8,Star Wars: The Rise of Skywalker,317
9,Once Upon a Time in … Hollywood,314
10,Downton Abbey,294
11,Collision,241
12,Spider-Man: Far From Home,241
13,How to Train Your Dragon: The Hidden World,238
14,The Secret Life of Pets 2,218
15,Toy Story 4,218
16,Captain Marvel,215
17,Aladdin,215
18,Out of Tune,209
19,Before the Frost,206
