,Year,GDP per capita in U.S. dollars
0,2025*,3099.73
1,2024*,2946.89
2,2023*,2809.92
3,2022*,2690.15
4,2021*,2592.76
5,2020*,2412.44
6,2019,2550.67
7,2018,2479.07
8,2017,2448.18
9,2016,2342.02
10,2015,2302.2
11,2014,2206.06
12,2013,2102.56
13,2012,2144.37
14,2011,2081.11
15,2010,1891.16
16,2009,1777.27
17,2008,1727.83
18,2007,1572.07
19,2006,1420.13
20,2005,1296.7
21,2004,1204.48
22,2003,1145.5
23,2002,1122.06
24,2001,1120.55
25,2000,1080.47
26,1999,1003.07
27,1998,1023.4
28,1997,948.72
29,1996,888.01
30,1995,948.44
31,1994,845.74
32,1993,888.61
33,1992,891.44
34,1991,822.86
35,1990,841.25
36,1989,1467.03
37,1988,1351.37
38,1987,1249.59
39,1986,1180.46
40,1985,1161.92
