,nba team and year,Purchase price in million U.S. dollars
0,Brooklyn Nets  (2019),2350
1,Houston Rockets  (2017),2200
2,Los Angeles Clippers  (2014),2000
3,Atlanta Hawks  (2015),730
4,Washington Wizards (2010),551
5,Milwaukee Bucks  (2014),550
6,Sacramento Kings (2013),534
7,Golden State Warriors  (2010),450
8,Phoenix Suns  (2004),404
9,Toronto Raptors  (2012),400
10,Memphis Grizzlies  (2012),377
11,Cleveland Cavaliers  (2005),375
12,Boston Celtics (2002),360
13,New Orleans Pelicans (2012),338
14,Detroit Pistons  (2011),325
15,Oklahoma City Thunder  (2006),325
16,New York Knicks (1997),300
17,Philadelphia 76ers  (2011),287
18,Dallas Mavericks  (2000),280
19,Los Angeles Lakers  (1998),268
20,Denver Nuggets  (2000),202
21,Charlotte Hornets  (2010),175
22,Minnesota Timberwolves  (1995),89
23,Orlando Magic  (1991),85
24,San Antonio Spurs (1996),76
25,Portland Trail Blazers  (1988),70
26,Miami Heat  (1988),33
27,Utah Jazz  (1986),24
28,Chicago Bulls  (1985),16
29,Indiana Pacers  (1983),11
