,Month,Number of daily confirmed cases
0,Jan 3,362963
1,Jan 2,361472
2,Jan 1,359362
3,Dec 31,356351
4,Dec 30,353222
5,Dec 29,351386
6,Dec 28,349735
7,Dec 27,348359
8,Dec 26,347101
9,Dec 25,345351
10,Dec 24,342533
11,Dec 23,339933
12,Dec 22,337440
13,Dec 21,336222
14,Dec 20,334629
15,Dec 19,332371
16,Dec 18,330457
17,Dec 17,328277
18,Dec 16,325511
19,Dec 15,322557
20,Dec 14,320036
21,Dec 13,317031
22,Dec 12,314093
23,Dec 11,311067
24,Dec 10,308601
25,Dec 9,305688
26,Dec 8,303157
27,Dec 7,300976
28,Dec 6,298231
29,Dec 5,295071
30,Dec 4,291437
31,Dec 3,287654
32,Dec 2,283994
33,Dec 1,280530
34,Nov 30,278182
35,Nov 29,274275
36,Nov 28,269510
37,Nov 27,264692
38,Nov 26,259245
39,Nov 25,253349
40,Nov 24,249214
41,Nov 23,246124
42,Nov 22,240909
43,Nov 21,234670
44,Nov 20,228058
45,Nov 19,221228
46,Nov 18,213462
47,Nov 17,207798
48,Nov 16,203494
49,Nov 15,198216
50,Nov 14,191024
51,Nov 13,182062
52,Nov 12,171694
53,Nov 11,162051
54,Nov 10,158212
55,Nov 9,152508
56,Nov 8,146502
57,Nov 7,138604
58,Nov 6,132280
59,Nov 5,125229
60,Nov 4,118715
61,Nov 3,114270
62,Nov 2,111110
63,Nov 1,106584
64,Oct 31,101443
65,Oct 30,96200
66,Oct 29,91895
67,Oct 28,87746
68,Oct 27,85048
69,Oct 26,82536
70,Oct 25,79770
71,Oct 24,76781
72,Oct 23,73339
73,Oct 22,70769
74,Oct 21,68414
75,Oct 20,66611
76,Oct 19,65557
77,Oct 18,64495
78,Oct 17,62455
79,Oct 16,60764
80,Oct 15,59368
81,Oct 14,57762
82,Oct 13,56591
83,Oct 12,55983
84,Oct 11,54685
85,Oct 10,53784
86,Oct 9,52608
87,Oct 8,51382
88,Oct 7,50435
89,Oct 6,49886
90,Oct 5,48618
91,Oct 4,48019
92,Oct 3,47189
93,Oct 2,46317
94,Oct 1,45753
95,Sep 30,44607
96,Sep 29,43885
97,Sep 28,43466
98,Sep 27,42940
99,Sep 26,42317
100,Sep 25,41246
101,Sep 24,40558
102,Sep 23,39897
103,Sep 22,39150
104,Sep 21,38557
105,Sep 20,37948
106,Sep 19,37191
107,Sep 18,36370
108,Sep 17,35448
109,Sep 16,34744
110,Sep 15,33884
111,Sep 14,33335
112,Sep 13,32951
113,Sep 12,32456
114,Sep 11,31666
115,Sep 10,31104
116,Sep 9,30200
117,Sep 8,29875
118,Sep 7,29308
119,Sep 6,29056
120,Sep 5,28869
121,Sep 4,28495
122,Sep 3,28183
123,Sep 2,27741
124,Sep 1,27404
125,Aug 31,27218
126,Aug 30,26937
127,Aug 29,26763
128,Aug 28,26381
129,Aug 27,26154
130,Aug 26,25838
131,Aug 25,25547
132,Aug 24,25239
133,Aug 23,25099
134,Aug 22,24883
135,Aug 21,24608
136,Aug 20,24300
137,Aug 19,23875
138,Aug 18,23717
139,Aug 17,23373
140,Aug 16,23211
141,Aug 15,22951
142,Aug 14,22730
143,Aug 13,22501
144,Aug 12,22260
145,Aug 11,22122
146,Aug 10,22011
147,Aug 9,21935
148,Aug 8,21819
149,Aug 7,21689
150,Aug 6,21575
151,Aug 5,21472
152,Aug 4,21341
153,Aug 3,21309
154,Aug 2,21224
155,Aug 1,21098
156,July 31,21009
157,July 30,20846
158,July 29,20682
159,July 28,20550
160,July 27,20486
161,July 26,20349
162,July 25,20229
163,July 24,20148
164,July 23,20038
165,July 22,19679
166,July 21,19679
167,July 20,19571
168,July 19,19508
169,July 18,19406
170,July 17,19268
171,July 16,19115
172,July 15,19060
173,July 14,18859
174,July 13,18847
175,July 12,18795
176,July 11,18687
177,July 10,18613
178,July 9,18516
179,July 8,18415
180,July 7,18326
181,July 6,18269
182,July 5,18196
183,July 4,18073
184,July 3,17952
185,July 2,17814
186,July 1,17777
187,June 30,17666
188,June 29,17625
189,June 28,17562
190,June 27,17498
191,June 26,17431
192,June 25,17384
193,June 24,17351
194,June 23,17320
195,June 22,17285
196,June 21,17247
197,June 20,17185
198,June 19,17155
199,June 18,17115
200,June 17,17098
201,June 16,17065
202,June 15,17038
203,June 14,17014
204,June 13,16994
205,June 12,16964
206,June 11,16936
207,June 10,16902
208,June 9,16889
209,June 8,16868
210,June 7,16822
211,June 6,16803
212,June 5,16741
213,June 4,16705
214,June 3,16674
215,June 2,16663
216,June 1,16642
217,May 31,16638
218,May 30,16594
219,May 29,16543
220,May 28,16515
221,May 27,16497
222,May 26,16459
223,May 25,16439
224,May 24,16407
225,May 23,16361
226,May 22,16332
227,May 21,16275
228,May 20,16257
229,May 19,16179
230,May 18,16154
231,May 17,16140
232,May 16,16068
233,May 15,16005
234,May 14,15964
235,May 13,15910
