,Deal,Value in million U.S. dollars
0,Scientific Games - Bally Technologies (2014),5100
1,Gtech - IGT (2014),4700
2,PartyGaming - Bwin Interactive (2011),1800
3,Scientific Games - WMS (2013),1500
4,888 Holdings - Bwin.party (2015),1400
5,Churchill Downs - Big Fish Games (2014),885
6,IGT - Double Down (2012),500
7,Apollo - AGS (2013),240
8,Caesars Entertainment - Platika (2011),180
9,GSN - Bash Gaming (2014),165
10,Imperus Technologies - Diwip (2014),100
11,Bally Technologies - Dragon Play (2014),100
12,Caesars Entertainment - Pacific Interactive (2014),90
13,Aristocrat - Product Madness (2012),40
14,888 Holdings - Mytopia (2010),24
