,Country,Consumption in DDD per thousand people
0,Germany,593.1
1,Hungary,559.7
2,Czech Republic,445.6
3,Finland,439.1
4,Slovenia,402.8
5,Slovak Republic,399.1
6,Denmark,388.5
7,Sweden,378.4
8,United Kingdom,377.7
9,Italy,372.5
10,Lithuania,371.8
11,Canada,339.1
12,Estonia,330.7
13,Belgium,313.6
14,Greece,303.8
15,Netherlands,301.1
16,Spain,294.8
17,Norway,278.2
18,Iceland,276.8
19,Portugal,248.0
20,Chile,231.8
21,Australia,221.8
22,Austria,220.4
23,Luxembourg,208.6
24,Israel,202.6
25,Latvia,189.4
26,Turkey,140.6
27,South Korea,132.0
