,family medicine physician,Median gross charges in U.S. dollars
0,Diagnostic Radiology (M.D.s interventional),2366223
1,Diagnostic Radiology (M.D.s non-interventional),2181076
2,Orthopedic surgery,2013979
3,Gastroenterology,1925073
4,Ophthalmology,1901428
5,Urology,1795229
6,Cardiac & thoracic surgery,1663247
7,Dermatology,1649366
8,Otolaryngology,1605445
9,Cardiology (invasive),1496641
10,Anesthesiology,1342339
11,General surgery,1316116
12,Cardiology,1298288
13,Obstetricians/gynecologists - general,1266715
14,Emergency medicine,1017726
15,Pulmonary disease,1003779
16,Nephrology,967052
17,Pediatrics (general),873546
18,Rheumatology,845886
19,Neurology,816409
20,Internal medicine,739067
21,Family medicine,732661
22,Hematology & medical oncology,684264
23,Endocrinology,669768
24,Psychiatry,489583
25,Hospitalist - internal medicine,460709
