,Quarter,"Net income/loss in 1,000 U.S. dollars"
0,Q3 '20,91761
1,Q2 '20,96425
2,Q1 '20,12522
3,Q4 '19,31291
4,Q3 '19,14801
5,Q2 '19,18223
6,Q1 '19,31579
7,Q4 '18,41251
8,Q3 '18,19894
9,Q2 '18,3379
10,Q1 '18,12967
11,Q4 '17,44750
12,Q3 '17,25802
13,Q2 '17,11669
14,Q1 '17,-421
15,Q4 '16,-21383
16,Q3 '16,-2399
17,Q2 '16,-7311
18,Q1 '16,1192
19,Q4 '15,-4232
20,Q3 '15,-6891
21,Q2 '15,-6354
22,Q1 '15,-36586
23,Q4 '14,-5358
24,Q3 '14,-6271
25,Q2 '14,-3151
26,Q1 '14,-463
27,Q4 '13,-2608
28,Q3 '13,1081
29,Q2 '13,1048
30,Q1 '13,-317
