,Year,Import Volume in billion U.S. dollars
0,2019,2498.48
1,2018,2540.8
2,2017,2339.88
3,2016,2186.79
4,2015,2248.81
5,2014,2356.36
6,2013,2267.99
7,2012,2276.27
8,2011,2207.95
9,2010,1913.86
10,2009,1559.62
11,2008,2103.64
12,2007,1956.96
13,2006,1853.94
14,2005,1673.45
15,2004,1469.71
16,2003,1257.12
17,2002,1161.37
18,2001,1141.0
19,2000,1218.02
20,1999,1024.62
21,1998,911.9
22,1997,869.7
23,1996,795.29
24,1995,743.55
25,1994,663.25
26,1993,580.66
27,1992,532.66
28,1991,488.45
29,1990,495.31
30,1989,473.21
31,1988,440.95
32,1987,406.24
