,Month,Number of patients
0,Dec 3 '20,2507
1,Dec 2 '20,2419
2,Dec 1 '20,2019
3,Nov 30 '20,1429
4,Nov 29 '20,2041
5,Nov 28 '20,2674
6,Nov 27 '20,2510
7,Nov 26 '20,2499
8,Nov 25 '20,1930
9,Nov 24 '20,1217
10,Nov 23 '20,1513
11,Nov 22 '20,2150
12,Nov 21 '20,2508
13,Nov 20 '20,2418
14,Nov 19 '20,2383
15,Nov 18 '20,2179
16,Nov 17 '20,1686
17,Nov 16 '20,948
18,Nov 15 '20,1423
19,Nov 14 '20,1723
20,Nov 13 '20,1704
21,Nov 12 '20,1623
22,Nov 11 '20,1535
23,Nov 10 '20,1278
24,Nov 9 '20,772
25,Nov 8 '20,938
26,Nov 7 '20,1302
27,Nov 6 '20,1137
28,Nov 5 '20,1049
29,Nov 4 '20,607
30,Nov 3 '20,868
31,Nov 2 '20,482
32,Nov 1 '20,606
33,Oct 31 '20,868
34,Oct 30 '20,769
35,Oct 29 '20,804
36,Oct 28 '20,724
37,Oct 27 '20,649
38,Oct 26 '20,401
39,Oct 25 '20,488
40,Oct 24 '20,718
41,Oct 23 '20,745
42,Oct 22 '20,610
43,Oct 21 '20,616
44,Oct 20 '20,477
45,Oct 19 '20,315
46,Oct 18 '20,457
47,Oct 17 '20,579
48,Oct 16 '20,635
49,Oct 15 '20,703
50,Oct 14 '20,549
51,Oct 13 '20,494
52,Oct 12 '20,273
53,Oct 11 '20,432
54,Oct 10 '20,669
55,Oct 9 '20,594
56,Oct 8 '20,622
57,Oct 7 '20,505
58,Oct 6 '20,497
59,Oct 5 '20,271
60,Oct 4 '20,395
61,Oct 3 '20,564
62,Oct 2 '20,537
63,Oct 1 '20,623
64,Sep 30 '20,570
65,Sep 29 '20,531
66,Sep 28 '20,294
67,Sep 27 '20,478
68,Sep 26 '20,638
69,Sep 25 '20,570
70,Sep 24 '20,477
71,Sep 23 '20,216
72,Sep 22 '20,322
73,Sep 21 '20,307
74,Sep 20 '20,469
75,Sep 19 '20,597
76,Sep 18 '20,569
77,Sep 17 '20,480
78,Sep 16 '20,543
79,Sep 15 '20,531
80,Sep 14 '20,265
81,Sep 13 '20,439
82,Sep 12 '20,641
83,Sep 11 '20,639
84,Sep 10 '20,709
85,Sep 9 '20,507
86,Sep 8 '20,514
87,Sep 7 '20,288
88,Sep 6 '20,447
89,Sep 5 '20,598
90,Sep 4 '20,583
91,Sep 3 '20,656
92,Sep 2 '20,589
93,Sep 1 '20,624
94,Aug 31 '20,425
95,Aug 30 '20,598
96,Aug 29 '20,844
97,Aug 28 '20,870
98,Aug 27 '20,867
99,Aug 26 '20,893
100,Aug 25 '20,712
101,Aug 24 '20,491
102,Aug 23 '20,739
103,Aug 22 '20,985
104,Aug 21 '20,1036
105,Aug 20 '20,1182
106,Aug 19 '20,1080
107,Aug 18 '20,904
108,Aug 17 '20,630
109,Aug 16 '20,1017
110,Aug 15 '20,1234
111,Aug 14 '20,1356
112,Aug 13 '20,1176
113,Aug 12 '20,969
114,Aug 11 '20,693
115,Aug 10 '20,836
116,Aug 9 '20,1486
117,Aug 8 '20,1532
118,Aug 7 '20,1595
119,Aug 6 '20,1479
120,Aug 5 '20,1350
121,Aug 4 '20,1234
122,Aug 3 '20,937
123,Aug 2 '20,1324
124,Aug 1 '20,1535
125,Jul 31 '20,1574
126,Jul 30 '20,1297
127,Jul 29 '20,1242
128,Jul 28 '20,968
129,Jul 27 '20,581
130,Jul 26 '20,830
131,Jul 25 '20,798
132,Jul 24 '20,766
133,Jul 23 '20,966
134,Jul 22 '20,792
135,Jul 21 '20,618
136,Jul 20 '20,407
137,Jul 19 '20,501
138,Jul 18 '20,655
139,Jul 17 '20,588
140,Jul 16 '20,619
141,Jul 15 '20,440
142,Jul 14 '20,327
143,Jul 13 '20,248
144,Jul 12 '20,391
145,Jul 11 '20,373
146,Jul 10 '20,420
147,Jul 9 '20,352
148,Jul 8 '20,203
149,Jul 7 '20,208
150,Jul 6 '20,172
151,Jul 5 '20,195
152,Jul 4 '20,268
153,Jul 3 '20,249
154,Jul 2 '20,194
155,Jul 1 '20,125
156,Jun 30 '20,132
157,Jun 29 '20,110
158,Jun 28 '20,111
159,Jun 27 '20,88
160,Jun 26 '20,99
161,Jun 25 '20,79
162,Jun 24 '20,89
163,Jun 23 '20,53
164,Jun 22 '20,40
165,Jun 21 '20,49
166,Jun 20 '20,65
167,Jun 19 '20,54
168,Jun 18 '20,68
169,Jun 17 '20,43
170,Jun 16 '20,42
171,Jun 15 '20,60
172,Jun 14 '20,62
173,Jun 13 '20,43
174,Jun 12 '20,57
175,Jun 11 '20,40
176,Jun 10 '20,36
177,Jun 9 '20,30
178,Jun 8 '20,22
179,Jun 7 '20,32
180,Jun 6 '20,45
181,Jun 5 '20,41
182,Jun 4 '20,45
183,Jun 3 '20,26
184,Jun 2 '20,51
185,Jun 1 '20,36
186,May 31 '20,32
187,May 30 '20,46
188,May 29 '20,64
189,May 28 '20,61
190,May 27 '20,37
191,May 26 '20,27
192,May 25 '20,20
193,May 24 '20,40
194,May 23 '20,29
195,May 22 '20,31
196,May 21 '20,43
197,May 20 '20,38
198,May 19 '20,31
199,May 18 '20,30
200,May 17 '20,30
201,May 16 '20,57
202,May 15 '20,52
203,May 14 '20,100
204,May 13 '20,54
205,May 12 '20,80
206,May 11 '20,50
207,May 10 '20,68
208,May 9 '20,108
209,May 8 '20,89
210,May 7 '20,96
211,May 6 '20,106
212,May 5 '20,120
213,May 4 '20,177
214,May 3 '20,204
215,May 2 '20,302
216,May 1 '20,266
217,Apr 30 '20,199
218,Apr 29 '20,227
219,Apr 28 '20,284
220,Apr 27 '20,189
221,Apr 26 '20,221
222,Apr 25 '20,374
223,Apr 24 '20,451
224,Apr 23 '20,445
225,Apr 22 '20,450
226,Apr 21 '20,374
227,Apr 20 '20,365
228,Apr 19 '20,372
229,Apr 18 '20,590
230,Apr 17 '20,253
231,Apr 16 '20,596
232,Apr 15 '20,511
233,Apr 14 '20,322
234,Apr 13 '20,333
235,Apr 12 '20,571
236,Apr 11 '20,676
237,Apr 10 '20,708
238,Apr 9 '20,572
239,Apr 8 '20,550
240,Apr 7 '20,377
241,Apr 6 '20,270
242,Apr 5 '20,386
243,Apr 4 '20,370
244,Apr 3 '20,337
245,Apr 2 '20,253
246,Apr 1 '20,224
247,Mar 31 '20,218
248,Mar 30 '20,74
249,Mar 29 '20,185
250,Mar 28 '20,194
251,Mar 27 '20,104
252,Mar 26 '20,96
253,Mar 25 '20,93
254,Mar 24 '20,65
255,Mar 23 '20,38
256,Mar 22 '20,42
257,Mar 21 '20,34
258,Mar 20 '20,53
259,Mar 19 '20,36
260,Mar 18 '20,39
261,Mar 17 '20,44
262,Mar 16 '20,15
263,Mar 15 '20,33
264,Mar 14 '20,62
265,Mar 13 '20,40
266,Mar 12 '20,55
267,Mar 11 '20,52
268,Mar 10 '20,54
269,Mar 9 '20,26
270,Mar 8 '20,33
271,Mar 7 '20,47
272,Mar 6 '20,59
273,Mar 5 '20,31
274,Mar 4 '20,33
275,Mar 3 '20,16
276,Mar 2 '20,14
277,Mar 1 '20,15
278,Feb 29 '20,9
279,Feb 28 '20,20
280,Feb 27 '20,24
281,Feb 26 '20,22
282,Feb 25 '20,8
283,Feb 24 '20,12
284,Feb 23 '20,12
285,Feb 22 '20,27
286,Feb 21 '20,11
287,Feb 20 '20,9
288,Feb 19 '20,10
289,Feb 18 '20,7
290,Feb 17 '20,7
291,Feb 16 '20,6
292,Feb 15 '20,12
293,Feb 14 '20,7
294,Feb 13 '20,4
