,Department,2019*,2020*
0,Department of Agriculture,480,311
1,Department of Commerce,403,392
2,Department of Defense,8743,9643
3,Department of Education,139,143
4,Department of Energy,520,557
5,Department of Health & Human Services,474,460
6,Department of Homeland Security,1921,1919
7,Department of Housing & Urban Development,35,25
8,Department of Justice,824,881
9,Department of Labor,93,94
10,Department of State,363,400
11,Department of the Interior,103,111
12,Department of the Treasury,505,422
13,Department of Transportation,224,232
14,Department of Veterans Affairs,530,513
15,Environmental Protection Agency,44,45
16,General Services Administration,79,80
17,National Aeronautics & Space Administration,169,171
18,National Science Foundation,239,224
19,Nuclear Regulatory Commission,32,29
20,Office of Personnel Management,45,47
21,Small Business Administration,16,16
22,Social Security Administration,225,205
23,U.S. Agency for International Developmen,68,44
24,Non-CFO Act Agencies,382,372
