,Year,Male,Female
0,Mexico (2009),75,280
1,Slovenia (2000-01),114,212
2,India (1999),19,298
3,Portugal (1999),51,253
4,Poland (2003-04),93,194
5,Turkey (2006),21,261
6,Belgium (2005),97,167
7,Italy (2008),51,213
8,Australia (2006),93,168
9,France (2009),98,158
10,Germany (2001-02),90,164
11,Denmark (2001),107,145
12,South Africa (2010),68,183
13,Hungary (1999-2000),65,186
14,Austria (2008-09),79,170
15,Estonia (2009-2010),89,147
16,Finland (2009-10),91,137
17,Japan (2011),24,199
18,New Zealand (2009-10),76,142
19,Canada (2010),83,133
20,Spain (2009-10),76,127
21,China (2008),48,155
22,United States (2014),76,124
23,United Kingdom (2005),66,133
24,Netherlands (2005-06),63,134
25,Ireland (2005),49,135
26,Sweden (2010),79,95
27,Norway (2010),61,104
28,Korea (2009),21,138
