,Year,Standing places,Most expensive seats
0,FSV Mainz 05,179€,950€
1,SC Freiburg,195€,865€
2,Eintracht Frankfurt,184€,827€
3,1. FC Köln,165€,785€
4,Schalke 04,"1,905€",776€
5,Bayern München,145€,765€
6,Borussia Dortmund,219€,759€
7,Fortuna Düsseldorf,195€,759€
8,Hertha BSC,199€,749€
9,RB Leipzig,180€,740€
10,SC Paderborn 07,225€,735€
11,Werder Bremen,195€,730€
12,1. FC Union Berlin,187€,680€
13,Borussia Mönchengladbach,190€,675€
14,FC Augsburg,199€,629€
15,Bayer Leverkusen,190€,595€
16,1899 Hoffenheim,150€,584€
17,VFL Wolfsburg,145€,440€
