,Quarter,Percent change from preceding period
0,Q3 '19,2.1%
1,Q2 '19,2%
2,Q1 '19,3.1%
3,Q4 '18,1.1%
4,Q3 '18,2.9%
5,Q2 '18,3.5%
6,Q1 '18,2.5%
7,Q4 '17,3.5%
8,Q3 '17,3.2%
9,Q2 '17,2.2%
10,Q1 '17,2.3%
11,Q4 '16,2%
12,Q3 '16,2.2%
13,Q2 '16,1.9%
14,Q1 '16,2%
15,Q4 '15,0.1%
16,Q3 '15,1.3%
17,Q2 '15,3%
18,Q1 '15,3.2%
19,Q4 '14,2.3%
20,Q3 '14,5%
21,Q2 '14,5.5%
22,Q1 '14,-1.1%
23,Q4 '13,3.2%
24,Q3 '13,3.2%
25,Q2 '13,0.5%
26,Q1 '13,3.6%
27,Q4 '12,0.5%
28,Q3 '12,0.5%
29,Q2 '12,1.7%
30,Q1 '12,3.2%
31,Q4 '11,4.7%
32,Q3 '11,-0.1%
33,Q2 '11,2.9%
34,Q1 '11,-1%
