,Public Investments,Public expenditure in million euros
0,Tax repayments and abatement,135883
1,Education,72760
2,Defense,44354
3,State's financial commitments,42471
4,Research and higher education,28147
5,Security,20135
6,"Solidarity, readaptation and equal opportunities",23899
7,Territories' cohesion,16390
8,Work and employment,12451
9,Environment and sustainable development and mobilities,12166
10,Public finances and human resources management,10442
11,Justice,9057
12,Pension and social plans,6284
13,Relations with local and regional authorities,3439
14,"Agriculture, fishing, food, forests and rural affairs",2922
15,State's foreign action,2873
16,Culture,2930
17,General and territorial state administration,2836
18,Public development aid,3078
19,"Veterans, memory and links with the nation",2302
20,Overseas,2576
21,Economy,1940
22,Government action supervision,1326
23,"Immigration, asylum and integration",1688
24,Health,1421
25,Investments for the future,1050
26,Public authorities,991
27,"Sports, youth and voluntary sector",990
28,State's council and control,681
29,"Media, book and culture industry",579
30,Provisions,177
31,Public action and transformation,312
